PPFD,Normal,Shade,Highlight,Lowlight
0,0.028734517,0.040255103,-0.148325063,0.051539853
20,0.876452117,1.038503321,0.338061288,1.164104104
60,1.859778638,1.418075454,1.23980252,2.093707294
80,2.216469927,1.476706173,1.732487148,2.122552948
100,2.757293237,1.560329236,2.257654244,2.145642391
200,3.690426167,1.741292006,3.491913902,2.729076291
300,3.827873521,1.935005066,4.285220173,2.832296992
500,4.362714634,2.205694027,5.186937827,3.062734865
800,4.443638552,2.645722691,5.523245237,3.051509692
1000,4.75264552,2.888404053,5.644709709,3.353119223
